# model,num,acc,z,h,lAcc,pul,cyc,burstLength,uBurstLength,peakLum,uPeakLum,persLum,uPersLum,fluence,uFluence,tau,uTau,tDel,uTDel,conv,uConv,r1090,uR1090,r2590,uR2590,singAlpha,uSingAlpha,singDecay,uSingDecay,alpha,uAlpha,flag,Qb
'xrba003',15,1.75e-09,0.001,0.75900000000000001,0.10000000000000001,'15',18151,268.14285714285717,16.730989821530684,1.0333557311660044e+38,7.4455844793907909e+36,2.7254218828920752e+35,7.9673589431467602e+33,5.9871032228675546e+39,3.0413374465904102e+38,58.224810392506299,5.1185389545879723,11267.25,672.59320915394323,1.7592855962111553,1.253330363741892,5.3035714285714288,0.1025814758310362,4.3035714285714288,0.1025814758310362,0.71195840559076817,0.0290376043342499,33.434929622297837,3.4781246267296231,39.223059179432823,1.6819175371937261,0,0.14999999999999999
'xrba004',4,3.4999999999999998e-10,0.001,0.75900000000000001,0.02,'4',19673,213.09731151489541,6.9656276898167961,2.9503786914266371e+38,8.0141590890829393e+36,6.9782152887647467e+34,4.2849191583617185e+33,1.9098826150469362e+40,6.1179765255958291e+38,64.829066729307456,3.6744568898635483,194290.71787159436,3375.0257054120302,7.815555093305929,0.58061979716812595,5.5701361719014431,0.053959527002343521,4.8191272297020378,0.057728489710401641,0.72018217206590274,0.0088360480878553124,35.084679605250834,1.8049359412545907,43.298974869245271,0.059030557912482351,0,0.14999999999999999
'xrba005',12,1.75e-09,0.02,0.70479999999999998,0.10000000000000001,'12',20000,106.33239392457041,3.621231851015374,1.5198684249851872e+38,4.9887582233329267e+36,4.5510613164546986e+35,2.514577519263606e+34,4.4145316323633391e+39,3.942331498465597e+37,29.071015839937857,0.80567690652558532,9682.3847404469543,118.63166815619081,12.414352921830378,0.9629424287856867,5.027073940120979,0.10828935701548914,4.5195928851403133,0.0643580134886403,0.9280998259035087,0.022606867794184766,23.738581326260373,1.8451052697636965,45.896569359300472,0.66273396279844432,0,0.14999999999999999
'xrba05d',30,1.5799999999999999e-09,0.02,0.70479999999999998,0.089999999999999997,'30',67100,100.77306458530802,3.1179582742483092,1.5872573560957814e+38,5.0836720989844088e+36,4.6111571270975218e+35,1.8866654396359386e+34,4.3929626868250662e+39,5.3942019709390093e+37,27.698396850812109,0.74213024963993435,11007.498358311512,177.29586165871871,12.953608067747997,0.82027345324467993,5.0018258023893427,0.08884897025706498,4.4944349353013262,0.064307241434624518,0.98562068588045615,0.032712068156809292,22.218352302308325,1.5305813056963511,47.477072565597148,0.64106548573677025,0,0.14999999999999999
'xrba006',8,3.4999999999999998e-10,0.02,0.70479999999999998,0.02,'8',203270,54.798344847663039,4.5524167270056841,5.2180885353880438e+38,4.0847666744640247e+37,1.2580206445016116e+35,3.4919539687601654e+33,8.0380969789112223e+39,4.5054581788314313e+38,15.472598800938909,1.2338596892650957,389761.14101465623,52053.465919788934,38.603994110383255,25.194619488281681,0.36030986449415131,0.21668962060889138,0.34717038817637202,0.21648754097152229,5.8248874690540502,1.1289952038847353,3.1906278366807856,0.93747628803725369,201.10385979267051,18.139437876144026,2,0.14999999999999999
'xrba007',14,2.6249999999999999e-09,0.001,0.75900000000000001,0.14999999999999999,'14',16621,286.50724760242548,10.896905355730128,1.0261563753889237e+38,7.6490522446458761e+36,2.8404442608970628e+35,5.5164733342802395e+33,6.2479567715106843e+39,3.6984144437192297e+38,61.016538553345512,2.945841664777356,7675.3380995903653,229.15486678790526,0.86275470233764717,0.52641564647016315,5.3398533061168001,0.11464098229007441,4.2947319004379096,0.080271493144972242,0.70110066638296531,0.013016941148120213,34.0528677868054,2.532894983362862,38.24524391822699,2.2566552095553831,0,0.14999999999999999
'xrba008',21,8.7500000000000006e-09,0.001,0.75900000000000001,0.5,'21',17145,367.89593828257409,6.8434623093474114,7.0363869271506989e+37,2.7247443463521916e+36,4.9848397652413651e+35,3.3229732818318231e+34,5.4423038863469902e+39,2.6237333479906151e+38,77.325838283718085,1.3569350845713621,1924.2669672495306,36.908607823951108,0.6446703070984634,0.9474977443210425,5.8658731821996302,0.16686705477989619,4.6827632646515669,0.096237784365288098,0.65274968832206359,0.012949489717299097,47.498518060589035,1.3820949788182244,36.143677223598687,0.83101244124890861,0,0.14999999999999999
'xrba009',15,8.7500000000000006e-09,0.02,0.70479999999999998,0.5,'15',20333,215.95183281551459,3.4691208294897042,9.0847330656425563e+37,1.9535781801230025e+36,5.6100439058049808e+35,1.3072364050051093e+34,4.3730544480460337e+39,1.3216665665486071e+38,48.130116402716972,0.64918847324082385,1629.6425716469384,44.666959131019745,8.5155836835472449,0.31025766876926592,5.3692106098900307,0.10370573164652545,4.6414726675677356,0.058480751271614069,0.74619231357196436,0.013780712488064135,35.427500972103921,3.2764485386563962,38.535321932821297,0.51947980558461604,0,0.14999999999999999
'xrba410',36,1.5749999999999999e-08,0.20000000000000001,0.20799999999999999,0.90000000000000002,'42',100000,12.278280456846629,0.52915983752611684,2.8895051835368558e+38,1.7024761658372627e+37,1.2464005800008021e+36,3.5276865746205879e+34,8.3322083296046846e+38,1.463976389439847e+37,2.8899950371548098,0.11514980477599683,606.56593739842231,7.439413314319534,12.051360018984578,1.5566631570908886,0.31012141403621174,0.020420145790737514,0.27648095184670507,0.01979973225658645,4.5988841011976849,0.12584730749395628,2.5851110958197099,0.10037433381856187,135.37781076827309,2.5874851384327915,0,0.14999999999999999
